case_id,pdf_contains,page,phrase,target_char,target_occurrence_index,actual_reading,expected_reading,status,source,note,applicability_mode,source_pdf_sha256
NEG-019,115國小健體3下課本,138,第一球,一,,ㄧ,ㄧ,確認正確,使用者人工確認（2026-08-14）,P138「第一球」為序數，課本標本調ㄧ正確；完整詞形應優先於「一球」變調規則。,hard_gate,
CONF-005,115國小健體3下課本,7,我們將搭乘,們,,ㄇㄣˊ,˙ㄇㄣ,確認錯誤,使用者人工確認（2026-08-14）,P7「我們將搭乘」的「們」課本標ㄇㄣˊ，應讀輕聲˙ㄇㄣ。,hard_gate,
CONF-006,115國小健體3下課本,7,我們應該具備,們,,ㄇㄣˊ,˙ㄇㄣ,確認錯誤,使用者人工確認（2026-08-14）,P7「我們應該具備」的「們」課本標ㄇㄣˊ，應讀輕聲˙ㄇㄣ。,hard_gate,
CONF-007,115國小健體3下課本,26,嘴巴破,巴,,ㄅㄚ,˙ㄅㄚ,確認錯誤,使用者人工確認（2026-08-14）,P26「嘴巴破」的「巴」課本標ㄅㄚ，應讀輕聲˙ㄅㄚ。,hard_gate,
CONF-008,115國小健體3下課本,60,蘋果,蘋,,ㄆㄧㄣˊ,ㄆㄧㄥˊ,確認錯誤,使用者人工確認（2026-08-14）,P60「蘋果」的「蘋」課本標ㄆㄧㄣˊ，應為ㄆㄧㄥˊ。,hard_gate,
CONF-009,115國小健體3下課本,90,更多愛運動,更,,ㄍㄥ,ㄍㄥˋ,確認錯誤,使用者人工確認（2026-08-14）,P90「更多愛運動」的「更」課本標ㄍㄥ，程度副詞應讀ㄍㄥˋ。,hard_gate,
CONF-010,115國小健體3下課本,99,搶球大戰一年級,一,,ㄧ,ㄧˋ,確認錯誤,使用者人工確認（2026-08-14）,P99「一年級100公尺決賽」的一課本標ㄧ；依專案變調基準應為ㄧˋ。,hard_gate,
CONF-011,115國小健體3下課本,99,決賽一年級,一,,ㄧ,ㄧˋ,確認錯誤,使用者人工確認（2026-08-14）,P99另一處「一年級」的一課本標ㄧ；依專案變調基準應為ㄧˋ。,hard_gate,
CONF-012,115國小健體3下課本,141,擊中牆,中,,ㄓㄨㄥ,ㄓㄨㄥˋ,確認錯誤,使用者人工確認（2026-08-14）,P141「擊中牆」的「中」為命中義，課本標ㄓㄨㄥ，應讀ㄓㄨㄥˋ。,hard_gate,
CONF-013,115國小健體3下課本,143,我們的進攻和防守,們,,ㄇㄣˊ,˙ㄇㄣ,確認錯誤,使用者人工確認（2026-08-14）,P143「我們的進攻和防守」的「們」課本標ㄇㄣˊ，應讀輕聲˙ㄇㄣ。,hard_gate,
CONF-014,115國小健體3下課本,155,我們一起,們,,ㄇㄣˊ,˙ㄇㄣ,確認錯誤,使用者人工確認（2026-08-14）,P155「我們一起」的「們」課本標ㄇㄣˊ，應讀輕聲˙ㄇㄣ。,hard_gate,
CONF-015,115國小健體3下課本,165,嘴巴幾乎,巴,,ㄅㄚ,˙ㄅㄚ,確認錯誤,使用者人工確認（2026-08-14）,P165「嘴巴幾乎靠近水面」的「巴」課本標ㄅㄚ，應讀輕聲˙ㄅㄚ。,hard_gate,
CONF-016,115國小健體3下課本,166,嘴巴吸氣,巴,,ㄅㄚ,˙ㄅㄚ,確認錯誤,使用者人工確認（2026-08-14）,P166「用嘴巴吸氣」的「巴」課本標ㄅㄚ，應讀輕聲˙ㄅㄚ。,hard_gate,
CONF-017,115國小健體3下課本,51,負載,載,,ㄗㄞˇ,ㄗㄞˋ,確認錯誤,使用者人工確認（2026-08-14）,三下 P51「負載」的「載」課本實際標ㄗㄞˇ；完整詞語應讀ㄗㄞˋ。PDF實際解碼正確，確認教材注音錯誤。,hard_gate,
CONF-018,115國小健體3下課本,59,桶子,子,,ㄗˇ,˙ㄗ,確認錯誤,使用者人工確認（2026-08-14）,三下 P59「桶子」的「子」課本實際標ㄗˇ；完整詞語應讀輕聲˙ㄗ。PDF實際解碼正確，確認教材注音錯誤。,hard_gate,
NEG-4D-001,114國小健體4下課本,16,萎縮,萎,,ㄨㄟ,ㄨㄟ,確認正確,使用者人工確認（2026-08-14）,課本注音正確；舊預期規則錯誤。,hard_gate,
CONF-4D-001,114國小健體4下課本,56,我們,們,,ㄇㄣˊ,˙ㄇㄣ,確認錯誤,使用者人工確認（2026-08-14）,教材將「們」標為ㄇㄣˊ，應為輕聲。,hard_gate,
NEG-4D-002,114國小健體4下課本,132,調整,調,,ㄊㄧㄠˊ,ㄊㄧㄠˊ,確認正確,使用者人工確認（2026-08-14）,課本注音正確；v2.6 同座標白色底層字形造成重複解碼，v2.7 改採可見文字層去重。,hard_gate,
CONF-4D-002,114國小健體4下課本,161,一名,一,,ㄧˊ,ㄧˋ,確認錯誤,使用者人工確認（2026-08-14）,教材注音錯誤。,hard_gate,
NEG-4D-003,114國小健體4下課本,166,包括,括,,ㄍㄨㄚ,ㄍㄨㄚ,確認正確,使用者人工確認（2026-08-14）,課本注音正確；使用者指定以教育部《國語辭典簡編本》為準。,hard_gate,
CONF-4D-003,114國小健體4下課本,170,一人,一,,ㄧˊ,ㄧˋ,確認錯誤,使用者人工確認（2026-08-14）,教材注音錯誤。,hard_gate,
CONF-4D-004,114國小健體4下課本,177,牛仔,仔,,ㄗˇ,ㄗㄞˇ,確認錯誤,使用者人工確認（2026-08-14）,教材「牛仔褲」的「仔」注音錯誤。,hard_gate,
NEG-4D-004,114國小健體4下課本,178,為何,為,,ㄨㄟˊ,ㄨㄟˊ,確認正確,使用者人工確認（2026-08-14）,課本注音正確；另作為版面區塊句境回歸，所在句不得混入右側「熟記防溺十招…」文字盒。,hard_gate,
CONF-4D-005,114國小健體4下課本,197,救難,難,,ㄋㄢˊ,ㄋㄢˋ,確認錯誤,使用者人工確認（2026-08-14）,教材注音錯誤。,hard_gate,
NEG-4D-005,114國小健體4下課本,73,罐頭,頭,,˙ㄊㄡ,˙ㄊㄡ,確認正確,使用者人工確認（2026-08-15）,P73 罐頭「頭」課本輕聲正確；v2.8 解碼誤讀。,hard_gate,
NEG-4D-006,114國小健體4下課本,73,背包,背,,ㄅㄟ,ㄅㄟ,確認正確,使用者人工確認（2026-08-15）,P73 背包「背」課本ㄅㄟ正確；v2.8 解碼誤讀。,hard_gate,
NEG-4D-007,114國小健體4下課本,83,搖晃,晃,,ㄏㄨㄤˋ,ㄏㄨㄤˋ,確認正確,使用者人工確認（2026-08-15）,P83 搖晃「晃」課本ㄏㄨㄤˋ正確；v2.8 解碼誤讀。,hard_gate,
NEG-4D-008,114國小健體4下課本,136,球兒,兒,,ㄦ,ㄦ,確認正確,使用者人工確認（2026-08-15）,P136 球兒「兒」課本ㄦ正確；v2.8 解碼誤讀。,hard_gate,
NEG-4D-009,114國小健體4下課本,197,急難救助,難,,ㄋㄢˊ,ㄋㄢˊ,確認正確,使用者人工確認（2026-08-15）,P197 急難救助「難」課本ㄋㄢˊ正確；v2.8 解碼誤讀。,hard_gate,
NEG-4D-010,114國小健體4下課本,1,防災避難措施,難,,ㄋㄢˋ,ㄋㄢˋ,確認正確,使用者人工確認（2026-08-15）,P1「防災避難措施」難＝ㄋㄢˋ；同 font+component ID 在不同 PDF 字型子集不可共用，v3.0 以 font_xref 覆寫。,hard_gate,
NEG-4D-011,114國小健體4下課本,73,緊急避難包,難,,ㄋㄢˋ,ㄋㄢˋ,確認正確,使用者人工確認（2026-08-15）,P73「緊急避難包」難＝ㄋㄢˋ，v2.9 解碼誤讀。,hard_gate,
CONF-4D-006,114國小健體4下課本,77,繫緊,繫,,ㄒㄧˋ,ㄐㄧˋ,確認錯誤,使用者人工確認（2026-08-15）,P77「將船隻繫緊」的繫，PDF 實際標ㄒㄧˋ；綁結義預期ㄐㄧˋ，確認教材注音錯誤。,hard_gate,
NEG-4D-012,114國小健體4下課本,83,倡導緊急避難包,難,,ㄋㄢˋ,ㄋㄢˋ,確認正確,使用者人工確認（2026-08-15）,P83 第一處「緊急避難包」難＝ㄋㄢˋ。,hard_gate,
NEG-4D-013,114國小健體4下課本,83,準備緊急避難包,難,,ㄋㄢˋ,ㄋㄢˋ,確認正確,使用者人工確認（2026-08-15）,P83 第二處「緊急避難包」難＝ㄋㄢˋ。,hard_gate,
NEG-4D-014,114國小健體4下課本,83,緊急避難包的重要性,難,,ㄋㄢˋ,ㄋㄢˋ,確認正確,使用者人工確認（2026-08-15）,P83 第三處「緊急避難包」難＝ㄋㄢˋ。,hard_gate,
NEG-4D-015,114國小健體4下課本,90,降階,降,,ㄐㄧㄤˋ,ㄐㄧㄤˋ,確認正確,使用者人工確認（2026-08-15）,P90「降階弓箭步」降＝ㄐㄧㄤˋ；v2.9 群組回退少讀四聲。,hard_gate,
NEG-4D-016,114國小健體4下課本,166,飛彈,彈,,ㄉㄢˋ,ㄉㄢˋ,確認正確,使用者人工確認（2026-08-15）,P166「飛彈發射」彈＝ㄉㄢˋ；v2.9 全域 component 對照誤讀。,hard_gate,
CONF-3UP-001,115國小健體3上課本,88,為什麼,為,,ㄨㄟˊ,ㄨㄟˋ,確認錯誤,使用者人工確認（2026-08-15）,三上P88「為什麼」的「為」課本標ㄨㄟˊ；辨識正確，教材注音錯誤，應為ㄨㄟˋ。 舊版來源未保存 exact PDF SHA-256；v5.6.2 起保留為參考案例，不阻擋其他三上版本完成。,reference_only,
NEG-3UP-001,115國小健體3上課本,140,一樣,一,,ㄧˊ,ㄧˊ,確認正確,使用者人工確認（2026-08-15）,三上P140「一樣」的「一」課本注音正確；v3.4 實際注音誤辨為ㄧˋ。頁面特定真值，不可泛化到同字型同glyph其他頁。 舊版來源未保存 exact PDF SHA-256；v5.6.2 起保留為參考案例，不阻擋其他三上版本完成。,reference_only,
NEG-3UP-002,115國小健體3上課本,142,石頭,頭,,˙ㄊㄡ,˙ㄊㄡ,確認正確,使用者人工確認（2026-08-15）,三上P142「石頭」的「頭」課本注音正確；v3.4 實際注音誤辨為ㄊㄡˊ。 舊版來源未保存 exact PDF SHA-256；v5.6.2 起保留為參考案例，不阻擋其他三上版本完成。,reference_only,
NEG-3UP-003,115國小健體3上課本,13,骨頭,頭,,˙ㄊㄡ,˙ㄊㄡ,確認正確,使用者人工確認（2026-08-15）,三上P13兩處「骨頭」的「頭」均為輕聲；頁面字型子集覆寫需同時修正兩個出現位置。 舊版來源未保存 exact PDF SHA-256；v5.6.2 起保留為參考案例，不阻擋其他三上版本完成。,reference_only,
NEG-3UP-004,115國小健體3上課本,20,調整,調,,ㄊㄧㄠˊ,ㄊㄧㄠˊ,確認正確,使用者人工確認（2026-08-15）,三上P20「調整」的「調」課本注音正確；v3.4 實際注音誤辨為ㄉㄧㄠˋ。 舊版來源未保存 exact PDF SHA-256；v5.6.2 起保留為參考案例，不阻擋其他三上版本完成。,reference_only,
NEG-3UP-005,115國小健體3上課本,108,一級棒,一,,ㄧˋ,ㄧˋ,確認正確,使用者人工確認（2026-08-15）,三上P108「一級棒」的「一」實際辨識ㄧˋ正確；原預期規則錯誤，應為ㄧˋ。 舊版來源未保存 exact PDF SHA-256；v5.6.2 起保留為參考案例，不阻擋其他三上版本完成。,reference_only,
CONF-3UP-002,115國小健體3上課本,51,下載,載,,ㄗㄞˇ,ㄗㄞˋ,確認錯誤,使用者人工確認（2026-08-15）,三上P51「下載」的「載」課本標ㄗㄞˇ；字形辨識正確，教材注音錯誤，應為ㄗㄞˋ。 舊版來源未保存 exact PDF SHA-256；v5.6.2 起保留為參考案例，不阻擋其他三上版本完成。,reference_only,
NEG-3UP-006,115國小健體3上課本,20,背帶,背,,ㄅㄟ,ㄅㄟ,確認正確,使用者人工確認（2026-08-15）,三上P20「背帶」的「背」課本實際標ㄅㄟ；v3.6 誤取同座標隱藏底層字形而讀成ㄅㄟˋ。v3.7 以跨字型可見層去重＋結構注音偵測取得可見 n@dW5@ 字形。 舊版來源未保存 exact PDF SHA-256；v5.6.2 起保留為參考案例，不阻擋其他三上版本完成。,reference_only,
CONF-3UP-003,115國小健體3上課本,75,想一想,一,,ㄧˋ,ㄧˋ,確認正確,使用者確認「一」變調規則（2026-08-17）,A一A 依一般「一」變調規則判定；後字「想」為第3聲，故中間「一」應標ㄧˋ。實際ㄧˋ，符合規則。 舊版來源未保存 exact PDF SHA-256；v5.6.2 起保留為參考案例，不阻擋其他三上版本完成。,reference_only,
CONF-3UP-004,115國小健體3上課本,106,想一想,一,,ㄧˋ,ㄧˋ,確認正確,使用者確認「一」變調規則（2026-08-17）,A一A 依一般「一」變調規則判定；後字「想」為第3聲，故中間「一」應標ㄧˋ。實際ㄧˋ，符合規則。 舊版來源未保存 exact PDF SHA-256；v5.6.2 起保留為參考案例，不阻擋其他三上版本完成。,reference_only,
CONF-3UP-005,115國小健體3上課本,111,想一想,一,,ㄧˋ,ㄧˋ,確認正確,使用者確認「一」變調規則（2026-08-17）,A一A 依一般「一」變調規則判定；後字「想」為第3聲，故中間「一」應標ㄧˋ。實際ㄧˋ，符合規則。 舊版來源未保存 exact PDF SHA-256；v5.6.2 起保留為參考案例，不阻擋其他三上版本完成。,reference_only,
CONF-3UP-006,115國小健體3上課本,119,想一想,一,,ㄧˋ,ㄧˋ,確認正確,使用者確認「一」變調規則（2026-08-17）,A一A 依一般「一」變調規則判定；後字「想」為第3聲，故中間「一」應標ㄧˋ。實際ㄧˋ，符合規則。 舊版來源未保存 exact PDF SHA-256；v5.6.2 起保留為參考案例，不阻擋其他三上版本完成。,reference_only,
CONF-3UP-007,115國小健體3上課本,140,想一想,一,,ㄧˋ,ㄧˋ,確認正確,使用者確認「一」變調規則（2026-08-17）,A一A 依一般「一」變調規則判定；後字「想」為第3聲，故中間「一」應標ㄧˋ。實際ㄧˋ，符合規則。 舊版來源未保存 exact PDF SHA-256；v5.6.2 起保留為參考案例，不阻擋其他三上版本完成。,reference_only,
CONF-3UP-008,115國小健體3上課本,15,想一想,一,,ㄧˋ,ㄧˋ,確認正確,使用者確認「一」變調規則（2026-08-17）,A一A 依一般「一」變調規則判定；後字「想」為第3聲，故中間「一」應標ㄧˋ。實際ㄧˋ，符合規則。 舊版來源未保存 exact PDF SHA-256；v5.6.2 起保留為參考案例，不阻擋其他三上版本完成。,reference_only,
CONF-3UP-009,115國小健體3上課本,53,想一想,一,,ㄧˋ,ㄧˋ,確認正確,使用者確認「一」變調規則（2026-08-17）,A一A 依一般「一」變調規則判定；後字「想」為第3聲，故中間「一」應標ㄧˋ。實際ㄧˋ，符合規則。 舊版來源未保存 exact PDF SHA-256；v5.6.2 起保留為參考案例，不阻擋其他三上版本完成。,reference_only,
NEG-3D-V40-Y01,115國小健體3下課本,7,好奇,好,,ㄏㄠˋ,ㄏㄠˋ,確認正確,使用者附檔色底人工判定（2026-08-15）,附檔黃底：使用者確認課本注音正確，v3.9 實際注音「ㄏㄠˇ」為辨識錯誤；v4.0 使用出現位置限定人工實際注音覆寫。,hard_gate,
NEG-3D-V40-Y02,115國小健體3下課本,7,了解,了,,ㄌㄧㄠˇ,ㄌㄧㄠˇ,確認正確,使用者附檔色底人工判定（2026-08-15）,附檔黃底：使用者確認課本注音正確，v3.9 實際注音「˙ㄌㄜ」為辨識錯誤；v4.0 使用出現位置限定人工實際注音覆寫。,hard_gate,
NEG-3D-V40-Y03,115國小健體3下課本,15,一歲,一,,ㄧˊ,ㄧˊ,確認正確,使用者附檔色底人工判定（2026-08-15）,附檔黃底：使用者確認課本注音正確，v3.9 實際注音「ㄧ」為辨識錯誤；v4.0 使用出現位置限定人工實際注音覆寫。；v5.2.1 以現版可重現的局部詞「一歲」作 identity locator，歷史讀音真值不參與定位。,hard_gate,
NEG-3D-V40-Y04,115國小健體3下課本,20,當然囉,囉,,˙ㄌㄨㄛ,˙ㄌㄨㄛ,確認正確,使用者附檔色底人工判定（2026-08-15）,附檔黃底：使用者確認課本注音正確，v3.9 實際注音「ㄌㄨㄛ」為辨識錯誤；v4.0 使用出現位置限定人工實際注音覆寫。,hard_gate,
NEG-3D-V40-Y05,115國小健體3下課本,36,被媽媽阻止了,媽,1,˙ㄇㄚ,˙ㄇㄚ,確認正確,使用者附檔色底人工判定（2026-08-15）,附檔黃底：使用者確認課本注音正確，v3.9 實際注音「ㄇㄚ」為辨識錯誤；v4.0 使用出現位置限定人工實際注音覆寫。,hard_gate,
NEG-3D-V40-Y06,115國小健體3下課本,38,挑戰,挑,,ㄊㄧㄠˇ,ㄊㄧㄠˇ,確認正確,使用者附檔色底人工判定（2026-08-15）,附檔黃底：使用者確認課本注音正確，v3.9 實際注音「ㄊㄧㄠ」為辨識錯誤；v4.0 使用出現位置限定人工實際注音覆寫。,hard_gate,
CONF-3D-V40-W01,115國小健體3下課本,11,想一想,一,,ㄧˋ,ㄧˋ,確認正確,使用者確認「一」變調規則（2026-08-17）,A一A 依一般「一」變調規則判定；後字「想」為第3聲，故中間「一」應標ㄧˋ。實際ㄧˋ，符合規則。,hard_gate,
CONF-3D-V40-W02,115國小健體3下課本,14,想一想,一,,ㄧˋ,ㄧˋ,確認正確,使用者確認「一」變調規則（2026-08-17）,A一A 依一般「一」變調規則判定；後字「想」為第3聲，故中間「一」應標ㄧˋ。實際ㄧˋ，符合規則。,hard_gate,
