rule_id,priority,mode,target_char,phrase,expected_reading,excluded_phrases,source,source_url,note,pdf_contains,evidence_level
D-EX-014,100,exact,長,延長,ㄔㄤˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-015,100,exact,長,長度,ㄔㄤˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-016,100,exact,長,長短,ㄔㄤˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-017,100,exact,長,長久,ㄔㄤˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-018,100,exact,行,行動,ㄒㄧㄥˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-019,100,exact,行,進行,ㄒㄧㄥˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-020,100,exact,行,行走,ㄒㄧㄥˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-021,100,exact,行,執行,ㄒㄧㄥˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-022,100,exact,行,舉行,ㄒㄧㄥˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-023,100,exact,行,行進,ㄒㄧㄥˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-024,100,exact,行,行為,ㄒㄧㄥˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-025,100,exact,行,銀行,ㄏㄤˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-026,100,exact,行,行業,ㄏㄤˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-027,100,exact,行,行列,ㄏㄤˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-028,100,exact,行,行家,ㄏㄤˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-029,100,exact,分,分類,ㄈㄣ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-030,100,exact,分,分析,ㄈㄣ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-031,100,exact,分,分享,ㄈㄣ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-032,100,exact,分,分成,ㄈㄣ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-033,100,exact,分,分為,ㄈㄣ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-034,100,exact,分,分鐘,ㄈㄣ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-035,100,exact,分,分工,ㄈㄣ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-036,100,exact,分,分配,ㄈㄣ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-037,100,exact,分,成分,ㄈㄣˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-038,100,exact,分,部分,ㄈㄣˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-039,100,exact,分,本分,ㄈㄣˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-040,100,exact,分,分外,ㄈㄣˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-041,100,exact,分,身分,ㄈㄣˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-042,100,exact,種,一種,ㄓㄨㄥˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-043,100,exact,種,三種,ㄓㄨㄥˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-044,100,exact,種,各種,ㄓㄨㄥˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-045,100,exact,種,哪一種,ㄓㄨㄥˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-046,100,exact,種,種類,ㄓㄨㄥˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-047,100,exact,種,種子,ㄓㄨㄥˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-048,100,exact,種,種田,ㄓㄨㄥˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-049,100,exact,種,接種,ㄓㄨㄥˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-050,100,exact,與,參與,ㄩˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-051,100,exact,與,與家人,ㄩˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-052,100,exact,與,與同學,ㄩˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-053,100,exact,與,與大家,ㄩˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-054,100,exact,應,反應,ㄧㄥˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-055,100,exact,應,應變,ㄧㄥˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-056,100,exact,應,報應,ㄧㄥˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-057,100,exact,應,應對,ㄧㄥˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-058,100,exact,應,應驗,ㄧㄥˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-059,100,exact,應,應該,ㄧㄥ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-060,100,exact,應,應立即,ㄧㄥ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-061,100,exact,應,應使用,ㄧㄥ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-062,100,exact,應,應包含,ㄧㄥ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-063,100,exact,著,著火,ㄓㄠˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-064,100,exact,著,看著,˙ㄓㄜ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-065,100,exact,著,躺著,˙ㄓㄜ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-066,100,exact,著,牽著,˙ㄓㄜ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-067,100,exact,著,接著,˙ㄓㄜ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-068,100,exact,著,拉著,˙ㄓㄜ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-069,100,exact,著,靠著,˙ㄓㄜ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-070,100,exact,著,急著,˙ㄓㄜ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-071,100,exact,著,洋溢著,˙ㄓㄜ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-072,100,exact,兒,兒童,ㄦˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-073,100,exact,兒,育兒,ㄦˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-074,100,exact,兒,兒子,ㄦˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-075,100,exact,教,教育,ㄐㄧㄠˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-076,100,exact,教,教材,ㄐㄧㄠˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-077,100,exact,教,教室,ㄐㄧㄠˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-078,100,exact,教,指教,ㄐㄧㄠˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-079,100,exact,教,戶外教學,ㄐㄧㄠˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-080,100,exact,教,教書,ㄐㄧㄠ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-081,100,exact,教,教學生,ㄐㄧㄠ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-082,100,exact,教,教寫字,ㄐㄧㄠ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-083,100,exact,教,教唱,ㄐㄧㄠ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-084,100,exact,肚,肚子,ㄉㄨˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-085,100,exact,肚,肚臍,ㄉㄨˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-086,100,exact,肚,肚皮,ㄉㄨˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-087,100,exact,肚,毛肚,ㄉㄨˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-088,100,exact,肚,羊肚,ㄉㄨˇ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-089,100,exact,沒,沒有,ㄇㄟˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-090,100,exact,沒,沒用,ㄇㄟˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-091,100,exact,沒,沉沒,ㄇㄛˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-092,100,exact,沒,沒收,ㄇㄛˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-093,100,exact,覺,睡覺,ㄐㄧㄠˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-094,100,exact,覺,午覺,ㄐㄧㄠˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-095,100,exact,覺,感覺,ㄐㄩㄝˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-096,100,exact,覺,覺得,ㄐㄩㄝˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-097,100,exact,好,好奇,ㄏㄠˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-098,100,exact,好,好學,ㄏㄠˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-099,100,exact,好,愛好,ㄏㄠˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-100,100,exact,好,嗜好,ㄏㄠˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-101,100,exact,參,參加,ㄘㄢ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-102,100,exact,參,參訪,ㄘㄢ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-103,100,exact,參,參賽,ㄘㄢ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-104,100,exact,參,參考,ㄘㄢ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-105,100,exact,參,人參,ㄕㄣ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-106,100,exact,參,參差,ㄘㄣ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-107,100,exact,少,少年,ㄕㄠˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-108,100,exact,少,少女,ㄕㄠˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-109,100,exact,少,少校,ㄕㄠˋ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-110,100,exact,還,還給,ㄏㄨㄢˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-111,100,exact,還,歸還,ㄏㄨㄢˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-112,100,exact,還,還原,ㄏㄨㄢˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-EX-113,100,exact,還,還錢,ㄏㄨㄢˊ,,一字多音-字典檔_marked.xlsx,,字典明列詞例或依同一詞義建立的完整詞語規則,,
D-DEF-001,50,default,的,,˙ㄉㄜ,的確;標的;目的,一字多音-字典檔_marked.xlsx,,結構助詞為常態；完整詞例例外先排除,,
D-DEF-002,50,default,們,,˙ㄇㄣ,圖們江,一字多音-字典檔_marked.xlsx,,人稱複數詞尾；河川名例外,,
D-DEF-003,50,default,有,,ㄧㄡˇ,十有五,一字多音-字典檔_marked.xlsx,,現代白話常用音；古文「有=又」例外,,
D-DEF-004,50,default,會,,ㄏㄨㄟˋ,會計;一會兒;會稽,一字多音-字典檔_marked.xlsx,,現代一般用音，先排除固定異讀詞,,
D-DEF-005,50,default,可,,ㄎㄜˇ,可汗,一字多音-字典檔_marked.xlsx,,一般用音，限讀詞例外,,
D-DEF-006,50,default,家,,ㄐㄧㄚ,阿家;大家,一字多音-字典檔_marked.xlsx,,一般用音；「大家」具古義歧讀，保守留待,,
D-DEF-007,50,default,要,,ㄧㄠˋ,摘要;要求;要功;要挾,一字多音-字典檔_marked.xlsx,,一般「需要/必要/將要」類；排除ㄧㄠ詞,,
D-DEF-008,50,default,合,,ㄏㄜˊ,公合;朝升暮合,一字多音-字典檔_marked.xlsx,,一般用音，古量詞例外,,
D-DEF-009,50,default,作,,ㄗㄨㄛˋ,作摩;作料,一字多音-字典檔_marked.xlsx,,一般用音，少數詞例外,,
D-DEF-010,50,default,大,,ㄉㄚˋ,大夫,一字多音-字典檔_marked.xlsx,,一般用音；「大夫」需另判詞義,,
D-DEF-011,50,default,來,,ㄌㄞˊ,,一字多音-字典檔_marked.xlsx,,一般現代用音,,
D-DEF-012,50,default,了,,˙ㄌㄜ,了解;了結;明了;了然;了不起,一字多音-字典檔_marked.xlsx,,語氣/動態助詞；實義ㄌㄧㄠˇ詞先排除,,
D-DEF-013,50,default,跑,,ㄆㄠˇ,虎跑泉,一字多音-字典檔_marked.xlsx,,一般跑步義；地名/古義例外,,
D-DEF-014,50,default,不,,ㄅㄨˋ；ㄅㄨˊ,,一字多音-字典檔_marked.xlsx,,專案字典基準音為ㄅㄨˋ；教材可能標示語流變調ㄅㄨˊ。未能安全解析後字時兩者均接受，避免跨冊版式造成假警報。,,
D-DEF-015,50,default,身,,ㄕㄣ,身毒,一字多音-字典檔_marked.xlsx,,一般用音，古國名例外,,
D-DEF-016,50,default,方,,ㄈㄤ,,一字多音-字典檔_marked.xlsx,,現代一般用音,,
D-DEF-017,50,default,上,,ㄕㄤˋ,上聲,一字多音-字典檔_marked.xlsx,,一般方位/動作義；聲調術語例外,,
D-DEF-018,50,default,傳,,ㄔㄨㄢˊ,傳記;左傳,一字多音-字典檔_marked.xlsx,,傳遞義；書名/傳記義例外,,
D-DEF-019,50,default,請,,ㄑㄧㄥˇ,朝請,一字多音-字典檔_marked.xlsx,,現代一般用音,,
D-DEF-020,50,default,間,,ㄐㄧㄢ,離間;間不容髮;間諜;間斷;間或;間隙;間接;間隔,一字多音-字典檔_marked.xlsx,,空間/時間義常用音；ㄐㄧㄢˋ詞先排除,,
D-DEF-021,50,default,同,,ㄊㄨㄥˊ,胡同,一字多音-字典檔_marked.xlsx,,一般用音,,
D-DEF-022,50,default,都,,ㄉㄡ,首都;都市;都會;京都;國都,一字多音-字典檔_marked.xlsx,,副詞「全部」；城市義先排除,,
D-DEF-023,50,default,便,,ㄅㄧㄢˋ,便宜;便給,一字多音-字典檔_marked.xlsx,,一般便利/排便/即義；異讀詞排除,,
D-DEF-024,50,default,戲,,ㄒㄧˋ,於戲,一字多音-字典檔_marked.xlsx,,現代一般用音,,
D-DEF-025,50,default,化,,ㄏㄨㄚˋ,叫化子,一字多音-字典檔_marked.xlsx,,現代一般用音,,
D-DEF-026,50,default,地,,ㄉㄧˋ,,一字多音-字典檔_marked.xlsx,,專案規則：國小教材結構助詞「地」改作「的」，因此保留的「地」按實詞處理,,
D-DEF-027,50,default,內,,ㄋㄟˋ,,一字多音-字典檔_marked.xlsx,,現代一般用音,,
D-DEF-028,50,default,將,,ㄐㄧㄤ,上將;名將;將領;勇將;將兵,一字多音-字典檔_marked.xlsx,,一般助動/動詞與將軍音；軍階人物義先排除,,
D-DEF-029,50,default,度,,ㄉㄨˋ,,一字多音-字典檔_marked.xlsx,,現代一般用音,,
D-DEF-030,50,default,看,,ㄎㄢˋ,看門;看守;看護;看押,一字多音-字典檔_marked.xlsx,,一般觀看/試看義；看守義例外,,
D-DEF-031,50,default,法,,ㄈㄚˇ,法子,一字多音-字典檔_marked.xlsx,,一般用音；限讀詞保守排除,,
D-DEF-032,50,default,原,,ㄩㄢˊ,,一字多音-字典檔_marked.xlsx,,現代一般用音,,
D-DEF-033,50,default,排,,ㄆㄞˊ,排子車,一字多音-字典檔_marked.xlsx,,一般用音,,
D-DEF-034,50,default,氣,,ㄑㄧˋ,,一字多音-字典檔_marked.xlsx,,現代一般用音,,
D-DEF-035,50,default,與,,ㄩˇ,參與,一字多音-字典檔_marked.xlsx,,連詞/介詞一般讀音；參與另有明確規則,,
D-DEF-036,50,default,重,,ㄓㄨㄥˋ,重複;重新;重來;重疊;重返;重圍;重組,一字多音-字典檔_marked.xlsx,,重量/重要義；再次義先排除,,
D-DEF-037,50,default,隊,,ㄉㄨㄟˋ,,一字多音-字典檔_marked.xlsx,,現代一般用音,,
D-DEF-038,50,default,些,,ㄒㄧㄝ,,一字多音-字典檔_marked.xlsx,,現代一般用音,,
D-DEF-039,50,default,哪,,ㄋㄚˇ,哪吒,一字多音-字典檔_marked.xlsx,,疑問代詞一般用音,,
D-DEF-040,50,default,免,,ㄇㄧㄢˇ,,一字多音-字典檔_marked.xlsx,,現代一般用音,,
D-DEF-041,50,default,比,,ㄅㄧˇ,,一字多音-字典檔_marked.xlsx,,現代一般用音,,
D-DEF-042,50,default,期,,ㄑㄧˊ,,一字多音-字典檔_marked.xlsx,,現代一般用音,,
D-DEF-043,50,default,阿,,ㄚ,阿房宮,一字多音-字典檔_marked.xlsx,,人名前綴一般用音,,
D-DEF-044,50,default,其,,ㄑㄧˊ,,一字多音-字典檔_marked.xlsx,,現代一般用音,,
D-DEF-045,50,default,報,,ㄅㄠˋ,,一字多音-字典檔_marked.xlsx,,現代一般用音,,
D-DEF-046,50,default,正,,ㄓㄥˋ,正月,一字多音-字典檔_marked.xlsx,,一般正確/正向義；正月例外,,
D-DEF-047,50,default,觀,,ㄍㄨㄢ,道觀,一字多音-字典檔_marked.xlsx,,觀看/觀察義；宗教建築例外,,
D-DEF-048,50,default,說,,ㄕㄨㄛ,遊說;說客,一字多音-字典檔_marked.xlsx,,一般說話義；勸說義例外,,
D-DEF-049,50,default,包,,ㄅㄠ,,一字多音-字典檔_marked.xlsx,,現代一般用音,,
